Experiment#,Subject#,phase#,block#,pair type#,accuracy#
Experiment 1 Delay After Phase 2,3048,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3048,1,1,unique,0.25
Experiment 1 Delay After Phase 2,3048,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3048,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3048,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3048,1,3,unique,0.75
Experiment 1 Delay After Phase 2,3048,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3048,1,4,unique,1
Experiment 1 Delay After Phase 2,3048,1,5,overlapping,1
Experiment 1 Delay After Phase 2,3048,1,5,unique,1
Experiment 1 Delay After Phase 2,3048,2,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3048,2,1,unique,1
Experiment 1 Delay After Phase 2,3048,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3048,2,2,unique,1
Experiment 1 Delay After Phase 2,3048,2,3,overlapping,1
Experiment 1 Delay After Phase 2,3048,2,3,unique,1
Experiment 1 Delay After Phase 2,3048,2,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3048,2,4,unique,0.75
Experiment 1 Delay After Phase 2,3048,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3048,2,5,unique,0.75
Experiment 1 Delay After Phase 2,3048,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3048,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3048,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3048,3,2,unique,1
Experiment 1 Delay After Phase 2,3048,3,3,overlapping,1
Experiment 1 Delay After Phase 2,3048,3,3,unique,1
Experiment 1 Delay After Phase 2,3048,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3048,3,4,unique,1
Experiment 1 Delay After Phase 2,3048,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3048,3,5,unique,1
Experiment 1 Delay After Phase 2,3050,1,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3050,1,1,unique,0.75
Experiment 1 Delay After Phase 2,3050,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3050,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3050,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3050,1,3,unique,1
Experiment 1 Delay After Phase 2,3050,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3050,1,4,unique,0.75
Experiment 1 Delay After Phase 2,3050,1,5,overlapping,0.5
Experiment 1 Delay After Phase 2,3050,1,5,unique,0.75
Experiment 1 Delay After Phase 2,3050,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,3050,2,1,unique,0.5
Experiment 1 Delay After Phase 2,3050,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3050,2,2,unique,0.75
Experiment 1 Delay After Phase 2,3050,2,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3050,2,3,unique,0.75
Experiment 1 Delay After Phase 2,3050,2,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3050,2,4,unique,0.75
Experiment 1 Delay After Phase 2,3050,2,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3050,2,5,unique,0.75
Experiment 1 Delay After Phase 2,3050,3,1,overlapping,1
Experiment 1 Delay After Phase 2,3050,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3050,3,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3050,3,2,unique,1
Experiment 1 Delay After Phase 2,3050,3,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3050,3,3,unique,1
Experiment 1 Delay After Phase 2,3050,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3050,3,4,unique,0.5
Experiment 1 Delay After Phase 2,3050,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3050,3,5,unique,0.25
Experiment 1 Delay After Phase 2,3051,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,1,1,unique,0.5
Experiment 1 Delay After Phase 2,3051,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3051,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3051,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3051,1,3,unique,0.75
Experiment 1 Delay After Phase 2,3051,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3051,1,4,unique,1
Experiment 1 Delay After Phase 2,3051,1,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,1,5,unique,1
Experiment 1 Delay After Phase 2,3051,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,3051,2,1,unique,0.5
Experiment 1 Delay After Phase 2,3051,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,2,2,unique,0.25
Experiment 1 Delay After Phase 2,3051,2,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3051,2,3,unique,1
Experiment 1 Delay After Phase 2,3051,2,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,2,4,unique,1
Experiment 1 Delay After Phase 2,3051,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3051,2,5,unique,1
Experiment 1 Delay After Phase 2,3051,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3051,3,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,3,2,unique,1
Experiment 1 Delay After Phase 2,3051,3,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3051,3,3,unique,1
Experiment 1 Delay After Phase 2,3051,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3051,3,4,unique,1
Experiment 1 Delay After Phase 2,3051,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3051,3,5,unique,1
Experiment 1 Delay After Phase 2,3054,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3054,1,1,unique,0.75
Experiment 1 Delay After Phase 2,3054,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3054,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3054,1,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3054,1,3,unique,0.75
Experiment 1 Delay After Phase 2,3054,1,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3054,1,4,unique,0.25
Experiment 1 Delay After Phase 2,3054,1,5,overlapping,1
Experiment 1 Delay After Phase 2,3054,1,5,unique,1
Experiment 1 Delay After Phase 2,3054,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,3054,2,1,unique,0.5
Experiment 1 Delay After Phase 2,3054,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3054,2,2,unique,1
Experiment 1 Delay After Phase 2,3054,2,3,overlapping,1
Experiment 1 Delay After Phase 2,3054,2,3,unique,1
Experiment 1 Delay After Phase 2,3054,2,4,overlapping,1
Experiment 1 Delay After Phase 2,3054,2,4,unique,1
Experiment 1 Delay After Phase 2,3054,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3054,2,5,unique,1
Experiment 1 Delay After Phase 2,3054,3,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3054,3,1,unique,0.5
Experiment 1 Delay After Phase 2,3054,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3054,3,2,unique,0.75
Experiment 1 Delay After Phase 2,3054,3,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3054,3,3,unique,1
Experiment 1 Delay After Phase 2,3054,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3054,3,4,unique,1
Experiment 1 Delay After Phase 2,3054,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3054,3,5,unique,1
Experiment 1 Delay After Phase 2,3055,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3055,1,1,unique,0.5
Experiment 1 Delay After Phase 2,3055,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3055,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3055,1,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3055,1,3,unique,1
Experiment 1 Delay After Phase 2,3055,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3055,1,4,unique,1
Experiment 1 Delay After Phase 2,3055,1,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3055,1,5,unique,1
Experiment 1 Delay After Phase 2,3055,2,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3055,2,1,unique,0.25
Experiment 1 Delay After Phase 2,3055,2,2,overlapping,1
Experiment 1 Delay After Phase 2,3055,2,2,unique,1
Experiment 1 Delay After Phase 2,3055,2,3,overlapping,1
Experiment 1 Delay After Phase 2,3055,2,3,unique,0.5
Experiment 1 Delay After Phase 2,3055,2,4,overlapping,1
Experiment 1 Delay After Phase 2,3055,2,4,unique,0.75
Experiment 1 Delay After Phase 2,3055,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3055,2,5,unique,1
Experiment 1 Delay After Phase 2,3055,3,1,overlapping,1
Experiment 1 Delay After Phase 2,3055,3,1,unique,1
Experiment 1 Delay After Phase 2,3055,3,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3055,3,2,unique,0.75
Experiment 1 Delay After Phase 2,3055,3,3,overlapping,1
Experiment 1 Delay After Phase 2,3055,3,3,unique,0.75
Experiment 1 Delay After Phase 2,3055,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3055,3,4,unique,0.75
Experiment 1 Delay After Phase 2,3055,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3055,3,5,unique,1
Experiment 1 Delay After Phase 2,3057,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,1,1,unique,0.5
Experiment 1 Delay After Phase 2,3057,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3057,1,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,1,3,unique,0.75
Experiment 1 Delay After Phase 2,3057,1,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,1,4,unique,1
Experiment 1 Delay After Phase 2,3057,1,5,overlapping,0.5
Experiment 1 Delay After Phase 2,3057,1,5,unique,0.75
Experiment 1 Delay After Phase 2,3057,2,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3057,2,1,unique,0.75
Experiment 1 Delay After Phase 2,3057,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,2,2,unique,0.75
Experiment 1 Delay After Phase 2,3057,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,2,3,unique,0.25
Experiment 1 Delay After Phase 2,3057,2,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,2,4,unique,0.25
Experiment 1 Delay After Phase 2,3057,2,5,overlapping,0.5
Experiment 1 Delay After Phase 2,3057,2,5,unique,0.25
Experiment 1 Delay After Phase 2,3057,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3057,3,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,3,2,unique,1
Experiment 1 Delay After Phase 2,3057,3,3,overlapping,0
Experiment 1 Delay After Phase 2,3057,3,3,unique,0.75
Experiment 1 Delay After Phase 2,3057,3,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,3,4,unique,0.75
Experiment 1 Delay After Phase 2,3057,3,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,3,5,unique,0.5
Experiment 1 Delay After Phase 2,3059,1,1,overlapping,0.25
Experiment 1 Delay After Phase 2,3059,1,1,unique,0.5
Experiment 1 Delay After Phase 2,3059,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3059,1,2,unique,1
Experiment 1 Delay After Phase 2,3059,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3059,1,3,unique,0.75
Experiment 1 Delay After Phase 2,3059,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3059,1,4,unique,0.75
Experiment 1 Delay After Phase 2,3059,1,5,overlapping,1
Experiment 1 Delay After Phase 2,3059,1,5,unique,0.75
Experiment 1 Delay After Phase 2,3059,2,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3059,2,1,unique,0.75
Experiment 1 Delay After Phase 2,3059,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3059,2,2,unique,0.75
Experiment 1 Delay After Phase 2,3059,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3059,2,3,unique,0.75
Experiment 1 Delay After Phase 2,3059,2,4,overlapping,1
Experiment 1 Delay After Phase 2,3059,2,4,unique,1
Experiment 1 Delay After Phase 2,3059,2,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3059,2,5,unique,0.75
Experiment 1 Delay After Phase 2,3059,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3059,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3059,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3059,3,2,unique,0.75
Experiment 1 Delay After Phase 2,3059,3,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3059,3,3,unique,1
Experiment 1 Delay After Phase 2,3059,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3059,3,4,unique,0.75
Experiment 1 Delay After Phase 2,3059,3,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3059,3,5,unique,1
Experiment 1 Delay After Phase 2,3061,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,1,1,unique,0.25
Experiment 1 Delay After Phase 2,3061,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,1,2,unique,1
Experiment 1 Delay After Phase 2,3061,1,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3061,1,3,unique,1
Experiment 1 Delay After Phase 2,3061,1,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,1,4,unique,1
Experiment 1 Delay After Phase 2,3061,1,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,1,5,unique,1
Experiment 1 Delay After Phase 2,3061,2,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,2,1,unique,1
Experiment 1 Delay After Phase 2,3061,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,2,2,unique,1
Experiment 1 Delay After Phase 2,3061,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,2,3,unique,1
Experiment 1 Delay After Phase 2,3061,2,4,overlapping,1
Experiment 1 Delay After Phase 2,3061,2,4,unique,1
Experiment 1 Delay After Phase 2,3061,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3061,2,5,unique,1
Experiment 1 Delay After Phase 2,3061,3,1,overlapping,1
Experiment 1 Delay After Phase 2,3061,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3061,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3061,3,2,unique,1
Experiment 1 Delay After Phase 2,3061,3,3,overlapping,1
Experiment 1 Delay After Phase 2,3061,3,3,unique,1
Experiment 1 Delay After Phase 2,3061,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3061,3,4,unique,1
Experiment 1 Delay After Phase 2,3061,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3061,3,5,unique,1
Experiment 1 Delay After Phase 2,3062,1,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3062,1,1,unique,1
Experiment 1 Delay After Phase 2,3062,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3062,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3062,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3062,1,3,unique,1
Experiment 1 Delay After Phase 2,3062,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3062,1,4,unique,1
Experiment 1 Delay After Phase 2,3062,1,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3062,1,5,unique,1
Experiment 1 Delay After Phase 2,3062,2,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3062,2,1,unique,0.25
Experiment 1 Delay After Phase 2,3062,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3062,2,2,unique,0.5
Experiment 1 Delay After Phase 2,3062,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3062,2,3,unique,0.75
Experiment 1 Delay After Phase 2,3062,2,4,overlapping,0.5
Experiment 1 Delay After Phase 2,3062,2,4,unique,0.75
Experiment 1 Delay After Phase 2,3062,2,5,overlapping,0
Experiment 1 Delay After Phase 2,3062,2,5,unique,0.5
Experiment 1 Delay After Phase 2,3062,3,1,overlapping,1
Experiment 1 Delay After Phase 2,3062,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3062,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3062,3,2,unique,1
Experiment 1 Delay After Phase 2,3062,3,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3062,3,3,unique,0.25
Experiment 1 Delay After Phase 2,3062,3,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3062,3,4,unique,0.5
Experiment 1 Delay After Phase 2,3062,3,5,overlapping,0.25
Experiment 1 Delay After Phase 2,3062,3,5,unique,0.75
Experiment 1 Delay After Phase 2,3063,1,1,overlapping,1
Experiment 1 Delay After Phase 2,3063,1,1,unique,0.75
Experiment 1 Delay After Phase 2,3063,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3063,1,2,unique,1
Experiment 1 Delay After Phase 2,3063,1,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3063,1,3,unique,0.75
Experiment 1 Delay After Phase 2,3063,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3063,1,4,unique,1
Experiment 1 Delay After Phase 2,3063,1,5,overlapping,1
Experiment 1 Delay After Phase 2,3063,1,5,unique,1
Experiment 1 Delay After Phase 2,3063,2,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3063,2,1,unique,1
Experiment 1 Delay After Phase 2,3063,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3063,2,2,unique,1
Experiment 1 Delay After Phase 2,3063,2,3,overlapping,1
Experiment 1 Delay After Phase 2,3063,2,3,unique,1
Experiment 1 Delay After Phase 2,3063,2,4,overlapping,1
Experiment 1 Delay After Phase 2,3063,2,4,unique,1
Experiment 1 Delay After Phase 2,3063,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3063,2,5,unique,1
Experiment 1 Delay After Phase 2,3063,3,1,overlapping,1
Experiment 1 Delay After Phase 2,3063,3,1,unique,1
Experiment 1 Delay After Phase 2,3063,3,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3063,3,2,unique,0.75
Experiment 1 Delay After Phase 2,3063,3,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3063,3,3,unique,0.25
Experiment 1 Delay After Phase 2,3063,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3063,3,4,unique,1
Experiment 1 Delay After Phase 2,3063,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3063,3,5,unique,0.75
Experiment 1 Delay After Phase 2,3064,1,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3064,1,1,unique,0.75
Experiment 1 Delay After Phase 2,3064,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3064,1,2,unique,1
Experiment 1 Delay After Phase 2,3064,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3064,1,3,unique,1
Experiment 1 Delay After Phase 2,3064,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3064,1,4,unique,1
Experiment 1 Delay After Phase 2,3064,1,5,overlapping,1
Experiment 1 Delay After Phase 2,3064,1,5,unique,1
Experiment 1 Delay After Phase 2,3064,2,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3064,2,1,unique,0.5
Experiment 1 Delay After Phase 2,3064,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3064,2,2,unique,1
Experiment 1 Delay After Phase 2,3064,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3064,2,3,unique,1
Experiment 1 Delay After Phase 2,3064,2,4,overlapping,1
Experiment 1 Delay After Phase 2,3064,2,4,unique,1
Experiment 1 Delay After Phase 2,3064,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3064,2,5,unique,1
Experiment 1 Delay After Phase 2,3064,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3064,3,1,unique,1
Experiment 1 Delay After Phase 2,3064,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3064,3,2,unique,1
Experiment 1 Delay After Phase 2,3064,3,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3064,3,3,unique,1
Experiment 1 Delay After Phase 2,3064,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3064,3,4,unique,0.75
Experiment 1 Delay After Phase 2,3064,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3064,3,5,unique,1
Experiment 1 Delay After Phase 2,3071,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3071,1,1,unique,0.5
Experiment 1 Delay After Phase 2,3071,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3071,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3071,1,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3071,1,3,unique,1
Experiment 1 Delay After Phase 2,3071,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3071,1,4,unique,1
Experiment 1 Delay After Phase 2,3071,1,5,overlapping,1
Experiment 1 Delay After Phase 2,3071,1,5,unique,0.75
Experiment 1 Delay After Phase 2,3071,2,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3071,2,1,unique,1
Experiment 1 Delay After Phase 2,3071,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3071,2,2,unique,1
Experiment 1 Delay After Phase 2,3071,2,3,overlapping,1
Experiment 1 Delay After Phase 2,3071,2,3,unique,0.75
Experiment 1 Delay After Phase 2,3071,2,4,overlapping,1
Experiment 1 Delay After Phase 2,3071,2,4,unique,1
Experiment 1 Delay After Phase 2,3071,2,5,overlapping,0.5
Experiment 1 Delay After Phase 2,3071,2,5,unique,0.25
Experiment 1 Delay After Phase 2,3071,3,1,overlapping,1
Experiment 1 Delay After Phase 2,3071,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3071,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3071,3,2,unique,0.75
Experiment 1 Delay After Phase 2,3071,3,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3071,3,3,unique,0.5
Experiment 1 Delay After Phase 2,3071,3,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3071,3,4,unique,1
Experiment 1 Delay After Phase 2,3071,3,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3071,3,5,unique,1
Experiment 1 Delay After Phase 2,3074,1,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3074,1,1,unique,0.5
Experiment 1 Delay After Phase 2,3074,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3074,1,2,unique,0.5
Experiment 1 Delay After Phase 2,3074,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3074,1,3,unique,0.5
Experiment 1 Delay After Phase 2,3074,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3074,1,4,unique,0.75
Experiment 1 Delay After Phase 2,3074,1,5,overlapping,1
Experiment 1 Delay After Phase 2,3074,1,5,unique,0.75
Experiment 1 Delay After Phase 2,3074,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,3074,2,1,unique,0.75
Experiment 1 Delay After Phase 2,3074,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3074,2,2,unique,0.75
Experiment 1 Delay After Phase 2,3074,2,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3074,2,3,unique,0.75
Experiment 1 Delay After Phase 2,3074,2,4,overlapping,0.5
Experiment 1 Delay After Phase 2,3074,2,4,unique,0.75
Experiment 1 Delay After Phase 2,3074,2,5,overlapping,0.25
Experiment 1 Delay After Phase 2,3074,2,5,unique,0.75
Experiment 1 Delay After Phase 2,3074,3,1,overlapping,1
Experiment 1 Delay After Phase 2,3074,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3074,3,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3074,3,2,unique,0.75
Experiment 1 Delay After Phase 2,3074,3,3,overlapping,1
Experiment 1 Delay After Phase 2,3074,3,3,unique,0.75
Experiment 1 Delay After Phase 2,3074,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3074,3,4,unique,0.75
Experiment 1 Delay After Phase 2,3074,3,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3074,3,5,unique,1
Experiment 1 Delay After Phase 2,3081,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3081,1,1,unique,0.75
Experiment 1 Delay After Phase 2,3081,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3081,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3081,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3081,1,3,unique,1
Experiment 1 Delay After Phase 2,3081,1,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3081,1,4,unique,0.75
Experiment 1 Delay After Phase 2,3081,1,5,overlapping,0.5
Experiment 1 Delay After Phase 2,3081,1,5,unique,1
Experiment 1 Delay After Phase 2,3081,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,3081,2,1,unique,0.5
Experiment 1 Delay After Phase 2,3081,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3081,2,2,unique,0.75
