Experiment#,Subject#,phase#,block#,pair type#,accuracy#
Experiment 1 Delay After Phase 2,3081,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3081,2,3,unique,1
Experiment 1 Delay After Phase 2,3081,2,4,overlapping,0.25
Experiment 1 Delay After Phase 2,3081,2,4,unique,1
Experiment 1 Delay After Phase 2,3081,2,5,overlapping,0.5
Experiment 1 Delay After Phase 2,3081,2,5,unique,1
Experiment 1 Delay After Phase 2,3081,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3081,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3081,3,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3081,3,2,unique,0.75
Experiment 1 Delay After Phase 2,3081,3,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3081,3,3,unique,1
Experiment 1 Delay After Phase 2,3081,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3081,3,4,unique,0.5
Experiment 1 Delay After Phase 2,3081,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3081,3,5,unique,1
Experiment 1 Delay After Phase 2,6028,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,6028,1,1,unique,0.75
Experiment 1 Delay After Phase 2,6028,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,6028,1,2,unique,0.75
Experiment 1 Delay After Phase 2,6028,1,3,overlapping,0.75
Experiment 1 Delay After Phase 2,6028,1,3,unique,1
Experiment 1 Delay After Phase 2,6028,1,4,overlapping,1
Experiment 1 Delay After Phase 2,6028,1,4,unique,0.5
Experiment 1 Delay After Phase 2,6028,1,5,overlapping,0.75
Experiment 1 Delay After Phase 2,6028,1,5,unique,1
Experiment 1 Delay After Phase 2,6028,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,6028,2,1,unique,0.5
Experiment 1 Delay After Phase 2,6028,2,2,overlapping,0.25
Experiment 1 Delay After Phase 2,6028,2,2,unique,1
Experiment 1 Delay After Phase 2,6028,2,3,overlapping,0
Experiment 1 Delay After Phase 2,6028,2,3,unique,1
Experiment 1 Delay After Phase 2,6028,2,4,overlapping,0.5
Experiment 1 Delay After Phase 2,6028,2,4,unique,0.75
Experiment 1 Delay After Phase 2,6028,2,5,overlapping,0.5
Experiment 1 Delay After Phase 2,6028,2,5,unique,0.75
Experiment 1 Delay After Phase 2,6028,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,6028,3,1,unique,0.5
Experiment 1 Delay After Phase 2,6028,3,2,overlapping,1
Experiment 1 Delay After Phase 2,6028,3,2,unique,0.75
Experiment 1 Delay After Phase 2,6028,3,3,overlapping,1
Experiment 1 Delay After Phase 2,6028,3,3,unique,0.5
Experiment 1 Delay After Phase 2,6028,3,4,overlapping,1
Experiment 1 Delay After Phase 2,6028,3,4,unique,0.5
Experiment 1 Delay After Phase 2,6028,3,5,overlapping,1
Experiment 1 Delay After Phase 2,6028,3,5,unique,0.75
Experiment 1 Delay After Phase 2,9010,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,9010,1,1,unique,0.75
Experiment 1 Delay After Phase 2,9010,1,2,overlapping,1
Experiment 1 Delay After Phase 2,9010,1,2,unique,1
Experiment 1 Delay After Phase 2,9010,1,3,overlapping,1
Experiment 1 Delay After Phase 2,9010,1,3,unique,1
Experiment 1 Delay After Phase 2,9010,1,4,overlapping,1
Experiment 1 Delay After Phase 2,9010,1,4,unique,0.75
Experiment 1 Delay After Phase 2,9010,1,5,overlapping,1
Experiment 1 Delay After Phase 2,9010,1,5,unique,1
Experiment 1 Delay After Phase 2,9010,2,1,overlapping,0.5
Experiment 1 Delay After Phase 2,9010,2,1,unique,0.5
Experiment 1 Delay After Phase 2,9010,2,2,overlapping,1
Experiment 1 Delay After Phase 2,9010,2,2,unique,0.75
Experiment 1 Delay After Phase 2,9010,2,3,overlapping,1
Experiment 1 Delay After Phase 2,9010,2,3,unique,1
Experiment 1 Delay After Phase 2,9010,2,4,overlapping,1
Experiment 1 Delay After Phase 2,9010,2,4,unique,1
Experiment 1 Delay After Phase 2,9010,2,5,overlapping,1
Experiment 1 Delay After Phase 2,9010,2,5,unique,1
Experiment 1 Delay After Phase 2,9010,3,1,overlapping,1
Experiment 1 Delay After Phase 2,9010,3,1,unique,1
Experiment 1 Delay After Phase 2,9010,3,2,overlapping,1
Experiment 1 Delay After Phase 2,9010,3,2,unique,1
Experiment 1 Delay After Phase 2,9010,3,3,overlapping,1
Experiment 1 Delay After Phase 2,9010,3,3,unique,1
Experiment 1 Delay After Phase 2,9010,3,4,overlapping,1
Experiment 1 Delay After Phase 2,9010,3,4,unique,1
Experiment 1 Delay After Phase 2,9010,3,5,overlapping,1
Experiment 1 Delay After Phase 2,9010,3,5,unique,1
Experiment 1 Delay After Phase 2,9011,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,9011,1,1,unique,0.75
Experiment 1 Delay After Phase 2,9011,1,2,overlapping,1
Experiment 1 Delay After Phase 2,9011,1,2,unique,1
Experiment 1 Delay After Phase 2,9011,1,3,overlapping,1
Experiment 1 Delay After Phase 2,9011,1,3,unique,1
Experiment 1 Delay After Phase 2,9011,1,4,overlapping,0.75
Experiment 1 Delay After Phase 2,9011,1,4,unique,1
Experiment 1 Delay After Phase 2,9011,1,5,overlapping,1
Experiment 1 Delay After Phase 2,9011,1,5,unique,1
Experiment 1 Delay After Phase 2,9011,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,9011,2,1,unique,0.75
Experiment 1 Delay After Phase 2,9011,2,2,overlapping,1
Experiment 1 Delay After Phase 2,9011,2,2,unique,1
Experiment 1 Delay After Phase 2,9011,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,9011,2,3,unique,1
Experiment 1 Delay After Phase 2,9011,2,4,overlapping,1
Experiment 1 Delay After Phase 2,9011,2,4,unique,1
Experiment 1 Delay After Phase 2,9011,2,5,overlapping,0.75
Experiment 1 Delay After Phase 2,9011,2,5,unique,1
Experiment 1 Delay After Phase 2,9011,3,1,overlapping,1
Experiment 1 Delay After Phase 2,9011,3,1,unique,1
Experiment 1 Delay After Phase 2,9011,3,2,overlapping,1
Experiment 1 Delay After Phase 2,9011,3,2,unique,1
Experiment 1 Delay After Phase 2,9011,3,3,overlapping,1
Experiment 1 Delay After Phase 2,9011,3,3,unique,1
Experiment 1 Delay After Phase 2,9011,3,4,overlapping,1
Experiment 1 Delay After Phase 2,9011,3,4,unique,1
Experiment 1 Delay After Phase 2,9011,3,5,overlapping,1
Experiment 1 Delay After Phase 2,9011,3,5,unique,1
Experiment 1 Delay After Phase 2,9013,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,9013,1,1,unique,1
Experiment 1 Delay After Phase 2,9013,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,9013,1,2,unique,1
Experiment 1 Delay After Phase 2,9013,1,3,overlapping,1
Experiment 1 Delay After Phase 2,9013,1,3,unique,1
Experiment 1 Delay After Phase 2,9013,1,4,overlapping,1
Experiment 1 Delay After Phase 2,9013,1,4,unique,1
Experiment 1 Delay After Phase 2,9013,1,5,overlapping,1
Experiment 1 Delay After Phase 2,9013,1,5,unique,1
Experiment 1 Delay After Phase 2,9013,2,1,overlapping,0.75
Experiment 1 Delay After Phase 2,9013,2,1,unique,0.75
Experiment 1 Delay After Phase 2,9013,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,9013,2,2,unique,1
Experiment 1 Delay After Phase 2,9013,2,3,overlapping,0.5
Experiment 1 Delay After Phase 2,9013,2,3,unique,1
Experiment 1 Delay After Phase 2,9013,2,4,overlapping,1
Experiment 1 Delay After Phase 2,9013,2,4,unique,1
Experiment 1 Delay After Phase 2,9013,2,5,overlapping,1
Experiment 1 Delay After Phase 2,9013,2,5,unique,1
Experiment 1 Delay After Phase 2,9013,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,9013,3,1,unique,1
Experiment 1 Delay After Phase 2,9013,3,2,overlapping,1
Experiment 1 Delay After Phase 2,9013,3,2,unique,1
Experiment 1 Delay After Phase 2,9013,3,3,overlapping,1
Experiment 1 Delay After Phase 2,9013,3,3,unique,1
Experiment 1 Delay After Phase 2,9013,3,4,overlapping,1
Experiment 1 Delay After Phase 2,9013,3,4,unique,1
Experiment 1 Delay After Phase 2,9013,3,5,overlapping,1
Experiment 1 Delay After Phase 2,9013,3,5,unique,1
Experiment 1 Delay After Phase 2,100002,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,100002,1,1,unique,1
Experiment 1 Delay After Phase 2,100002,1,2,overlapping,1
Experiment 1 Delay After Phase 2,100002,1,2,unique,1
Experiment 1 Delay After Phase 2,100002,1,3,overlapping,1
Experiment 1 Delay After Phase 2,100002,1,3,unique,1
Experiment 1 Delay After Phase 2,100002,1,4,overlapping,1
Experiment 1 Delay After Phase 2,100002,1,4,unique,1
Experiment 1 Delay After Phase 2,100002,1,5,overlapping,1
Experiment 1 Delay After Phase 2,100002,1,5,unique,1
Experiment 1 Delay After Phase 2,100002,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,100002,2,1,unique,0.5
Experiment 1 Delay After Phase 2,100002,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,100002,2,2,unique,1
Experiment 1 Delay After Phase 2,100002,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,100002,2,3,unique,1
Experiment 1 Delay After Phase 2,100002,2,4,overlapping,1
Experiment 1 Delay After Phase 2,100002,2,4,unique,1
Experiment 1 Delay After Phase 2,100002,2,5,overlapping,1
Experiment 1 Delay After Phase 2,100002,2,5,unique,0.75
Experiment 1 Delay After Phase 2,100002,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,100002,3,1,unique,1
Experiment 1 Delay After Phase 2,100002,3,2,overlapping,1
Experiment 1 Delay After Phase 2,100002,3,2,unique,1
Experiment 1 Delay After Phase 2,100002,3,3,overlapping,1
Experiment 1 Delay After Phase 2,100002,3,3,unique,1
Experiment 1 Delay After Phase 2,100002,3,4,overlapping,1
Experiment 1 Delay After Phase 2,100002,3,4,unique,1
Experiment 1 Delay After Phase 2,100002,3,5,overlapping,1
Experiment 1 Delay After Phase 2,100002,3,5,unique,1
Experiment 1 Delay After Phase 2,100003,1,1,overlapping,0.5
Experiment 1 Delay After Phase 2,100003,1,1,unique,0.5
Experiment 1 Delay After Phase 2,100003,1,2,overlapping,1
Experiment 1 Delay After Phase 2,100003,1,2,unique,0.5
Experiment 1 Delay After Phase 2,100003,1,3,overlapping,0.75
Experiment 1 Delay After Phase 2,100003,1,3,unique,0.75
Experiment 1 Delay After Phase 2,100003,1,4,overlapping,1
Experiment 1 Delay After Phase 2,100003,1,4,unique,1
Experiment 1 Delay After Phase 2,100003,1,5,overlapping,1
Experiment 1 Delay After Phase 2,100003,1,5,unique,1
Experiment 1 Delay After Phase 2,100003,2,1,overlapping,0.75
Experiment 1 Delay After Phase 2,100003,2,1,unique,1
Experiment 1 Delay After Phase 2,100003,2,2,overlapping,1
Experiment 1 Delay After Phase 2,100003,2,2,unique,1
Experiment 1 Delay After Phase 2,100003,2,3,overlapping,1
Experiment 1 Delay After Phase 2,100003,2,3,unique,1
Experiment 1 Delay After Phase 2,100003,2,4,overlapping,1
Experiment 1 Delay After Phase 2,100003,2,4,unique,1
Experiment 1 Delay After Phase 2,100003,2,5,overlapping,1
Experiment 1 Delay After Phase 2,100003,2,5,unique,1
Experiment 1 Delay After Phase 2,100003,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,100003,3,1,unique,0.75
Experiment 1 Delay After Phase 2,100003,3,2,overlapping,1
Experiment 1 Delay After Phase 2,100003,3,2,unique,1
Experiment 1 Delay After Phase 2,100003,3,3,overlapping,1
Experiment 1 Delay After Phase 2,100003,3,3,unique,1
Experiment 1 Delay After Phase 2,100003,3,4,overlapping,1
Experiment 1 Delay After Phase 2,100003,3,4,unique,1
Experiment 1 Delay After Phase 2,100003,3,5,overlapping,1
Experiment 1 Delay After Phase 2,100003,3,5,unique,1
Experiment 1 Delay After Phase 2,100007,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,100007,1,1,unique,0.75
Experiment 1 Delay After Phase 2,100007,1,2,overlapping,1
Experiment 1 Delay After Phase 2,100007,1,2,unique,0.75
Experiment 1 Delay After Phase 2,100007,1,3,overlapping,1
Experiment 1 Delay After Phase 2,100007,1,3,unique,1
Experiment 1 Delay After Phase 2,100007,1,4,overlapping,1
Experiment 1 Delay After Phase 2,100007,1,4,unique,1
Experiment 1 Delay After Phase 2,100007,1,5,overlapping,1
Experiment 1 Delay After Phase 2,100007,1,5,unique,1
Experiment 1 Delay After Phase 2,100007,2,1,overlapping,0.5
Experiment 1 Delay After Phase 2,100007,2,1,unique,0.5
Experiment 1 Delay After Phase 2,100007,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,100007,2,2,unique,0.75
Experiment 1 Delay After Phase 2,100007,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,100007,2,3,unique,0.75
Experiment 1 Delay After Phase 2,100007,2,4,overlapping,1
Experiment 1 Delay After Phase 2,100007,2,4,unique,1
Experiment 1 Delay After Phase 2,100007,2,5,overlapping,1
Experiment 1 Delay After Phase 2,100007,2,5,unique,1
Experiment 1 Delay After Phase 2,100007,3,1,overlapping,1
Experiment 1 Delay After Phase 2,100007,3,1,unique,0.75
Experiment 1 Delay After Phase 2,100007,3,2,overlapping,1
Experiment 1 Delay After Phase 2,100007,3,2,unique,1
Experiment 1 Delay After Phase 2,100007,3,3,overlapping,1
Experiment 1 Delay After Phase 2,100007,3,3,unique,1
Experiment 1 Delay After Phase 2,100007,3,4,overlapping,1
Experiment 1 Delay After Phase 2,100007,3,4,unique,1
Experiment 1 Delay After Phase 2,100007,3,5,overlapping,1
Experiment 1 Delay After Phase 2,100007,3,5,unique,1
Experiment 1 Delay After Phase 2,100008,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,100008,1,1,unique,0.5
Experiment 1 Delay After Phase 2,100008,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,100008,1,2,unique,1
Experiment 1 Delay After Phase 2,100008,1,3,overlapping,1
Experiment 1 Delay After Phase 2,100008,1,3,unique,0.75
Experiment 1 Delay After Phase 2,100008,1,4,overlapping,1
Experiment 1 Delay After Phase 2,100008,1,4,unique,1
Experiment 1 Delay After Phase 2,100008,1,5,overlapping,1
Experiment 1 Delay After Phase 2,100008,1,5,unique,1
Experiment 1 Delay After Phase 2,100008,2,1,overlapping,0.5
Experiment 1 Delay After Phase 2,100008,2,1,unique,0.5
Experiment 1 Delay After Phase 2,100008,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,100008,2,2,unique,0.75
Experiment 1 Delay After Phase 2,100008,2,3,overlapping,1
Experiment 1 Delay After Phase 2,100008,2,3,unique,1
Experiment 1 Delay After Phase 2,100008,2,4,overlapping,1
Experiment 1 Delay After Phase 2,100008,2,4,unique,1
Experiment 1 Delay After Phase 2,100008,2,5,overlapping,1
Experiment 1 Delay After Phase 2,100008,2,5,unique,1
Experiment 1 Delay After Phase 2,100008,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,100008,3,1,unique,1
Experiment 1 Delay After Phase 2,100008,3,2,overlapping,1
Experiment 1 Delay After Phase 2,100008,3,2,unique,1
Experiment 1 Delay After Phase 2,100008,3,3,overlapping,1
Experiment 1 Delay After Phase 2,100008,3,3,unique,1
Experiment 1 Delay After Phase 2,100008,3,4,overlapping,1
Experiment 1 Delay After Phase 2,100008,3,4,unique,1
Experiment 1 Delay After Phase 2,100008,3,5,overlapping,1
Experiment 1 Delay After Phase 2,100008,3,5,unique,1
Experiment 1 Delay After Phase 2,100009,1,1,overlapping,0.5
Experiment 1 Delay After Phase 2,100009,1,1,unique,0.5
Experiment 1 Delay After Phase 2,100009,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,100009,1,2,unique,0.75
Experiment 1 Delay After Phase 2,100009,1,3,overlapping,0.75
Experiment 1 Delay After Phase 2,100009,1,3,unique,0.75
Experiment 1 Delay After Phase 2,100009,1,4,overlapping,0.75
Experiment 1 Delay After Phase 2,100009,1,4,unique,0.75
Experiment 1 Delay After Phase 2,100009,1,5,overlapping,0.75
Experiment 1 Delay After Phase 2,100009,1,5,unique,1
Experiment 1 Delay After Phase 2,100009,2,1,overlapping,0.25
Experiment 1 Delay After Phase 2,100009,2,1,unique,0.5
Experiment 1 Delay After Phase 2,100009,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,100009,2,2,unique,1
Experiment 1 Delay After Phase 2,100009,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,100009,2,3,unique,0.75
Experiment 1 Delay After Phase 2,100009,2,4,overlapping,0.75
Experiment 1 Delay After Phase 2,100009,2,4,unique,0.5
Experiment 1 Delay After Phase 2,100009,2,5,overlapping,0.333333333
Experiment 1 Delay After Phase 2,100009,2,5,unique,1
Experiment 1 Delay After Phase 2,100009,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,100009,3,1,unique,0.5
Experiment 1 Delay After Phase 2,100009,3,2,overlapping,0.5
Experiment 1 Delay After Phase 2,100009,3,2,unique,0.5
Experiment 1 Delay After Phase 2,100009,3,3,overlapping,0.5
Experiment 1 Delay After Phase 2,100009,3,3,unique,0.5
Experiment 1 Delay After Phase 2,100009,3,4,overlapping,0.75
Experiment 1 Delay After Phase 2,100009,3,4,unique,0.75
Experiment 1 Delay After Phase 2,100009,3,5,overlapping,0.75
Experiment 1 Delay After Phase 2,100009,3,5,unique,0.5
Experiment 1 Delay After Phase 2,100011,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,100011,1,1,unique,0.5
Experiment 1 Delay After Phase 2,100011,1,2,overlapping,1
Experiment 1 Delay After Phase 2,100011,1,2,unique,0.75
Experiment 1 Delay After Phase 2,100011,1,3,overlapping,1
Experiment 1 Delay After Phase 2,100011,1,3,unique,0.75
Experiment 1 Delay After Phase 2,100011,1,4,overlapping,1
Experiment 1 Delay After Phase 2,100011,1,4,unique,1
Experiment 1 Delay After Phase 2,100011,1,5,overlapping,1
Experiment 1 Delay After Phase 2,100011,1,5,unique,1
Experiment 1 Delay After Phase 2,100011,2,1,overlapping,0.5
Experiment 1 Delay After Phase 2,100011,2,1,unique,1
Experiment 1 Delay After Phase 2,100011,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,100011,2,2,unique,1
Experiment 1 Delay After Phase 2,100011,2,3,overlapping,1
Experiment 1 Delay After Phase 2,100011,2,3,unique,1
Experiment 1 Delay After Phase 2,100011,2,4,overlapping,1
Experiment 1 Delay After Phase 2,100011,2,4,unique,1
Experiment 1 Delay After Phase 2,100011,2,5,overlapping,1
Experiment 1 Delay After Phase 2,100011,2,5,unique,1
Experiment 1 Delay After Phase 2,100011,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,100011,3,1,unique,1
Experiment 1 Delay After Phase 2,100011,3,2,overlapping,1
Experiment 1 Delay After Phase 2,100011,3,2,unique,1
Experiment 1 Delay After Phase 2,100011,3,3,overlapping,1
Experiment 1 Delay After Phase 2,100011,3,3,unique,1
Experiment 1 Delay After Phase 2,100011,3,4,overlapping,1
Experiment 1 Delay After Phase 2,100011,3,4,unique,0.75
Experiment 1 Delay After Phase 2,100011,3,5,overlapping,1
Experiment 1 Delay After Phase 2,100011,3,5,unique,1
Experiment 1 Delay After Phase 2,900010,1,1,overlapping,0.5
Experiment 1 Delay After Phase 2,900010,1,1,unique,1
Experiment 1 Delay After Phase 2,900010,1,2,overlapping,1
Experiment 1 Delay After Phase 2,900010,1,2,unique,1
Experiment 1 Delay After Phase 2,900010,1,3,overlapping,1
Experiment 1 Delay After Phase 2,900010,1,3,unique,1
Experiment 1 Delay After Phase 2,900010,1,4,overlapping,1
Experiment 1 Delay After Phase 2,900010,1,4,unique,1
Experiment 1 Delay After Phase 2,900010,1,5,overlapping,0.75
Experiment 1 Delay After Phase 2,900010,1,5,unique,0.5
Experiment 1 Delay After Phase 2,900010,2,1,overlapping,0.5
Experiment 1 Delay After Phase 2,900010,2,1,unique,0.5
Experiment 1 Delay After Phase 2,900010,2,2,overlapping,1
Experiment 1 Delay After Phase 2,900010,2,2,unique,0.5
Experiment 1 Delay After Phase 2,900010,2,3,overlapping,1
Experiment 1 Delay After Phase 2,900010,2,3,unique,0.75
Experiment 1 Delay After Phase 2,900010,2,4,overlapping,1
Experiment 1 Delay After Phase 2,900010,2,4,unique,0.75
Experiment 1 Delay After Phase 2,900010,2,5,overlapping,1
Experiment 1 Delay After Phase 2,900010,2,5,unique,1
Experiment 1 Delay After Phase 2,900010,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,900010,3,1,unique,1
Experiment 1 Delay After Phase 2,900010,3,2,overlapping,1
Experiment 1 Delay After Phase 2,900010,3,2,unique,0.75
Experiment 1 Delay After Phase 2,900010,3,3,overlapping,1
Experiment 1 Delay After Phase 2,900010,3,3,unique,1
Experiment 1 Delay After Phase 2,900010,3,4,overlapping,0.75
Experiment 1 Delay After Phase 2,900010,3,4,unique,1
Experiment 1 Delay After Phase 2,900010,3,5,overlapping,1
Experiment 1 Delay After Phase 2,900010,3,5,unique,1
Experiment 2 Delay After Phase 1,3007,1,1,overlapping,0.75
Experiment 2 Delay After Phase 1,3007,1,1,unique,0.75
Experiment 2 Delay After Phase 1,3007,1,2,overlapping,1
Experiment 2 Delay After Phase 1,3007,1,2,unique,0.5
Experiment 2 Delay After Phase 1,3007,1,3,overlapping,1
Experiment 2 Delay After Phase 1,3007,1,3,unique,0.5
Experiment 2 Delay After Phase 1,3007,1,4,overlapping,1
Experiment 2 Delay After Phase 1,3007,1,4,unique,1
Experiment 2 Delay After Phase 1,3007,1,5,overlapping,1
Experiment 2 Delay After Phase 1,3007,1,5,unique,1
Experiment 2 Delay After Phase 1,3007,2,1,overlapping,0.25
Experiment 2 Delay After Phase 1,3007,2,1,unique,0.5
Experiment 2 Delay After Phase 1,3007,2,2,overlapping,0.75
Experiment 2 Delay After Phase 1,3007,2,2,unique,1
Experiment 2 Delay After Phase 1,3007,2,3,overlapping,0.5
Experiment 2 Delay After Phase 1,3007,2,3,unique,1
Experiment 2 Delay After Phase 1,3007,2,4,overlapping,0.5
Experiment 2 Delay After Phase 1,3007,2,4,unique,1
Experiment 2 Delay After Phase 1,3007,2,5,overlapping,0.5
Experiment 2 Delay After Phase 1,3007,2,5,unique,0.75
Experiment 2 Delay After Phase 1,3007,3,1,overlapping,0.75
Experiment 2 Delay After Phase 1,3007,3,1,unique,0.25
Experiment 2 Delay After Phase 1,3007,3,2,overlapping,0.75
Experiment 2 Delay After Phase 1,3007,3,2,unique,1
Experiment 2 Delay After Phase 1,3007,3,3,overlapping,0.75
Experiment 2 Delay After Phase 1,3007,3,3,unique,1
Experiment 2 Delay After Phase 1,3007,3,4,overlapping,1
Experiment 2 Delay After Phase 1,3007,3,4,unique,1
Experiment 2 Delay After Phase 1,3007,3,5,overlapping,1
Experiment 2 Delay After Phase 1,3007,3,5,unique,0.75
Experiment 2 Delay After Phase 1,3008,1,1,overlapping,0.25
Experiment 2 Delay After Phase 1,3008,1,1,unique,0.25
Experiment 2 Delay After Phase 1,3008,1,2,overlapping,0.75
Experiment 2 Delay After Phase 1,3008,1,2,unique,1
Experiment 2 Delay After Phase 1,3008,1,3,overlapping,0.5
Experiment 2 Delay After Phase 1,3008,1,3,unique,0.5
Experiment 2 Delay After Phase 1,3008,1,4,overlapping,0.5
Experiment 2 Delay After Phase 1,3008,1,4,unique,1
Experiment 2 Delay After Phase 1,3008,1,5,overlapping,0.75
Experiment 2 Delay After Phase 1,3008,1,5,unique,0.75
Experiment 2 Delay After Phase 1,3008,2,1,overlapping,1
Experiment 2 Delay After Phase 1,3008,2,1,unique,0.75
Experiment 2 Delay After Phase 1,3008,2,2,overlapping,0.75
Experiment 2 Delay After Phase 1,3008,2,2,unique,0.5
Experiment 2 Delay After Phase 1,3008,2,3,overlapping,0.25
Experiment 2 Delay After Phase 1,3008,2,3,unique,0.5
Experiment 2 Delay After Phase 1,3008,2,4,overlapping,0.5
Experiment 2 Delay After Phase 1,3008,2,4,unique,1
Experiment 2 Delay After Phase 1,3008,2,5,overlapping,0.75
Experiment 2 Delay After Phase 1,3008,2,5,unique,0.75
Experiment 2 Delay After Phase 1,3008,3,1,overlapping,0.75
Experiment 2 Delay After Phase 1,3008,3,1,unique,0.25
Experiment 2 Delay After Phase 1,3008,3,2,overlapping,0.75
Experiment 2 Delay After Phase 1,3008,3,2,unique,0
